"Sigle","Titre","Semestre dans le cursus","Aide à l'inscription pédagogique","Type du module","Auditeurs libres acceptés","Cours électifs / Contient des cours électifs","Cours électifs / Date de début des choix de cours électifs","Cours électifs / Date de fin des choix de cours électifs","Cours électifs / Message période ouverte","Cours électifs / Message si hors période","Cours électifs / Nombre de choix max étudiant","Notation / Moyenne minimale du module"
"UE3.M2.DT.S1","UE3-Professionalisation.M2.DT.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.DT.S2","UE3-Professionalisation.M2.DT.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.DV.S1","UE3-Professionalisation.M2.DV.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.DV.S2","UE3-Professionalisation.M2.DV.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.II.S1","UE3-Professionalisation.M2.II.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.II.S2","UE3-Professionalisation.M2.II.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.PV.S1","UE3-Professionalisation.M2.PV.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.PV.S2","UE3-Professionalisation.M2.PV.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.SC.S1","UE3-Professionalisation.M2.SC.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M2.SC.S2","UE3-Professionalisation.M2.SC.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE4.L2.TR.S1","UE4-Professionalisation.L2.TR.S1","3ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE4.L2.TR.S2","UE4-Professionnalisation.L2.TR.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE4.L3.AE.S2","UE4-Professionnalisation.L3.AE.S2","6ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE4.L3.TR.S1","UE4-Professionnalisation.L3.TR.S1","5ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE4.M1.CA.S1","UE4-Cours transversaux.M1.CA.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE4.M1.CA.S2","UE4-Cours transversaux.M1.CA.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE4.M1.DA.S1","UE4-Cours transversaux.M1.DA.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE4.M1.DA.S2","UE4-Cours transversaux.M1.DA.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE4.M1.DO.S1","UE4-Cours transversaux.M1.DO.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE4.M1.DO.S2","UE4-Cours transversaux.M1.DO.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE4.M1.DT.S1","UE4-Cours transversaux.M1.DT.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE4.M1.DT.S2","UE4-Cours transversaux.M1.DT.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
